signal, time
1370.797640595856, 1669210371.5075383
-2616.053797397128, 1669210372.5075676
-2603.0704237465397, 1669210373.5075977
-1758.1665430515366, 1669210374.5076272
-3364.629882047474, 1669210375.507657
-5097.694737641708, 1669210376.5076864
-3896.977486960444, 1669210377.5077164
-2760.748831511848, 1669210378.5077457
-4325.873320802977, 1669210379.5077753
-4719.407364833963, 1669210380.5078046
-1686.6609446888233, 1669210381.5078344
671.1020262545478, 1669210382.5078642
-344.85037507344487, 1669210383.5078938
-1879.9120873361703, 1669210384.5079231
-455.0929110391452, 1669210385.5079527
1225.9074831830017, 1669210386.5079823
172.23003120135127, 1669210387.5080123
450.590247841453, 1669210388.508042
3460.2106551184897, 1669210389.5080717
4047.834950569535, 1669210390.5081015
805.4102017717049, 1669210391.5081325
-1210.8047353980037, 1669210392.5081623
1358.6126914947336, 1669210393.508192
4785.515047774301, 1669210394.5082216
4274.812240422923, 1669210395.508251
2484.3492858813124, 1669210396.5082805
4660.9425226401945, 1669210397.50831
8048.235441992513, 1669210398.5083396
7107.40141027934, 1669210399.508369
4432.038782475859, 1669210400.5083983
4469.18166093761, 1669210401.5084279
3817.157778832451, 1669210402.5084572
-858.849347590025, 1669210403.5084865
-4130.949912481622, 1669210404.508516
-2388.672437972744, 1669210405.5085456
-615.1903104713019, 1669210406.5085752
-2707.65477987904, 1669210407.5086055
-5420.6685186769055, 1669210408.508635
-4933.148381868559, 1669210409.508665
-3416.2925548200533, 1669210410.508695
-3791.217337968258, 1669210411.5087245
-3593.2399470101936, 1669210412.508754
-1663.5589329080904, 1669210413.5087838
-1300.8665231679424, 1669210414.5088131
-2819.444563944821, 1669210415.5088425
-2705.7409043234074, 1669210416.508872
-282.2595179031771, 1669210417.5089014
-193.89373122673288, 1669210418.5089312
-3168.550445345216, 1669210419.5089605
-3668.313880669102, 1669210420.50899
10.53357928424579, 1669210421.5090284
3460.2206791288263, 1669210422.5090585
3195.938612792701, 1669210423.5090883
2183.879749543011, 1669210424.5091178
3987.2346012276585, 1669210425.5091484
5314.2375194129145, 1669210426.5091784
3095.7524904873644, 1669210427.509208
1114.6944559171477, 1669210428.5092378
2809.778728680706, 1669210429.5092676
4023.289224106178, 1669210430.509297
809.4271592834222, 1669210431.5093267
-2131.8752881323257, 1669210432.5093563
-105.07994067890728, 1669210433.509386
2522.3305022940795, 1669210434.5094156
195.2886126950681, 1669210435.5094454
-3197.97959133552, 1669210436.509475
-2083.056289970341, 1669210437.5095046
-337.4719724681421, 1669210438.5095341
-3127.9117437834043, 1669210439.509564
-6846.437428549552, 1669210440.5095935
-5454.073212925132, 1669210441.5096235
-233.26790530289807, 1669210442.5096533
2134.4944667620457, 1669210443.5096831
1372.701924606066, 1669210444.5097132
2700.404669026414, 1669210445.509744
3657.883337431269, 1669210446.5097737
-103.38886017961973, 1669210447.5098038
-2984.930791206724, 1669210448.5098338
-495.3366109057773, 1669210449.5098634
1729.662542427834, 1669210450.5098932
-437.190423758564, 1669210451.5099225
-2679.643973619585, 1669210452.5099518
-2101.298146389445, 1669210453.5099812
-3254.162900464595, 1669210454.5100107
-7468.184824557612, 1669210455.5100403
-7957.054188121715, 1669210456.5100698
-2960.469980967086, 1669210457.5100992
957.2437133024948, 1669210458.510129
573.5407385657768, 1669210459.5101585
